1.5.4 d) digər kreditlər 0 0
1.5.5 (Mümkün zərərlər üçün yaradılan məqsədli ehtiyat) -289 819 -306 702
1.5.6 Müştərilərə verilmiş kreditlər (xalis) 1 923 352 1 735 370
"1,6 Əmlak və avadanlıqlar 60 324 55 759"
"1,7 Qeyri-maddi aktivlər 24 127 24 045"
"1,8 Təxirə salınmış vergi aktivləri 4 802 4 202"
"1,9 Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat 6 102 2 209"
1.10 Digər aktivlər 204 113 213 162
2 Öhdəliklər: 4 909 490 3 912 410
"2,1 Depozitlər 4 065 753 3 308 278"
2.1.1
2.1.2 b) hüquqi şəxslərin depozitləri 3 021 327 2 329 102
"2,2"
"2,3 Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər 349 355 320 502"
