1.5.4 d) digər kreditlər 0 0
1.5.5 (Mümkün zərərlər üçün yaradılan məqsədli ehtiyat) -371 475 -274 782
1.5.6 Müştərilərə verilmiş kreditlər (xalis) 2 281 085 1 901 168
"1,6 Əmlak və avadanlıqlar 62 973 61 639"
"1,7 Qeyri-maddi aktivlər 26 280 24 291"
"1,8 Təxirə salınmış vergi aktivləri 6 899 310"
"1,9 Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat -22 756 47"
1.10 Digər aktivlər 275 596 186 947
2 Öhdəliklər: 6 061 327 4 593 277
"2,1 Depozitlər 5 192 419 3 805 619"
2.1.1
2.1.2 b) hüquqi şəxslərin depozitləri 4 027 861 2 738 213
"2,2"
"2,3 Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər 434 962 357 412"
