"7,20 Digər borc öhdəliklərinin ödənilməsi 0 0"
"7,30 Subordinasiya borclarının əldə olunması 0 0"
"7,40 Subordinasiya borclarının ödənilməsi 0 0"
"7,50 Səhmdar kapitalının buraxılmasından daxilolmalar 0 20 000"
"7,60 Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi) -153 842 -100 800"
"8,00 Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri -153 842 -80 800
9,00 Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri 1 950 645 1 772 007
10,00 Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma) -76 112 185 071
11,00 Məzənnə dəyişikliyinin pul vəsaitləri və pul vəsaitlərinin ekvivalentlərinə təsiri -3 286 845
12,00 Dövrün sonuna pul vəsaitləri və pul vəsaitlərinin ekvivalentləri 1 874 535 1 957 078"
