"7,20 Digər borc öhdəliklərinin ödənilməsi 0 0"
"7,30 Subordinasiya borclarının əldə olunması 0 0"
"7,40 Subordinasiya borclarının ödənilməsi 0 0"
"7,50 Səhmdar kapitalının buraxılmasından daxilolmalar 20 000 0"
"7,60 Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi) -100 800 -82 463"
"8,00 Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri -80 800 -82 463
9,00 Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri 1 772 007 1 714 991
10,00 Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma) 185 071 -342 896
11,00 Məzənnə dəyişikliyinin pul vəsaitləri və pul vəsaitlərinin ekvivalentlərinə təsiri 845 -3 852
12,00 Dövrün sonuna pul vəsaitləri və pul vəsaitlərinin ekvivalentləri 1 957 078 1 372 095"
