1.5.4 d) digər kreditlər 0 0
1.5.5 (Mümkün zərərlər üçün yaradılan məqsədli ehtiyat) -316 277 -278 532
1.5.6 Müştərilərə verilmiş kreditlər (xalis) 1 982 536 1 875 584
"1,6 Əmlak və avadanlıqlar 64 474 58 314"
"1,7 Qeyri-maddi aktivlər 24 842 23 762"
"1,8 Təxirə salınmış vergi aktivləri 9 229 0"
"1,9 Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat -12 837 -2 284"
1.10 Digər aktivlər 250 851 427 026
2 Öhdəliklər: 5 150 448 4 361 949
"2,1 Depozitlər 4 410 409 3 625 804"
2.1.1
2.1.2 b) hüquqi şəxslərin depozitləri 3 177 436 2 494 492
"2,2"
"2,3 Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər 375 960 424 191"
