1.5.4 d) digər kreditlər 0 0
1.5.5 (Mümkün zərərlər üçün yaradılan məqsədli ehtiyat) -378 575 -289 819
1.5.6 Müştərilərə verilmiş kreditlər (xalis) 2 524 964 1 923 352
"1,6 Əmlak və avadanlıqlar 65 916 60 324"
"1,7 Qeyri-maddi aktivlər 25 484 24 127"
"1,8 Təxirə salınmış vergi aktivləri 8 604 4 802"
"1,9 Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat 2 6 102"
1.10 Digər aktivlər 210 131 204 113
2 Öhdəliklər: 6 387 081 4 909 490
"2,1 Depozitlər 5 476 770 4 065 753"
2.1.1
2.1.2 b) hüquqi şəxslərin depozitləri 3 821 439 3 021 327
"2,2"
"2,3 Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər 495 442 349 355"
